name,api_name,api_id,api_sortno,api_filename,api_version,swf
Akigumo,秋雲,132,132,khxsxmiuccsf,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/khxsxmiuccsf.swf?VERSION=3,3,831
Akigumo Kai,秋雲改,301,1397,ijhrnvnbqkmj,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/ijhrnvnbqkmj.swf?VERSION=3,3,831
Akitsu Maru,あきつ丸,161,161,nvnwjedsdgcl,1,1,1,http://203.104.209.71/kcs/resources/swf/ships/nvnwjedsdgcl.swf?VERSION=1,1,1
Akitsu Maru Kai,あきつ丸改,166,166,vxryfhvytcig,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/vxryfhvytcig.swf?VERSION=3,3,1
Akitsushima,秋津洲,445,245,oswtwcbzgbfm,12,13,831,http://203.104.209.71/kcs/resources/swf/ships/oswtwcbzgbfm.swf?VERSION=12,13,831
Akitsushima Kai,秋津洲改,450,250,wwqmolrsxfvz,12,13,831,http://203.104.209.71/kcs/resources/swf/ships/wwqmolrsxfvz.swf?VERSION=12,13,831
Akizuki,秋月,421,221,wkvdcpaogfii,12,11,1,http://203.104.209.71/kcs/resources/swf/ships/wkvdcpaogfii.swf?VERSION=12,11,1
Akizuki Kai,秋月改,330,1422,tubwmcjwtlqx,12,11,1,http://203.104.209.71/kcs/resources/swf/ships/tubwmcjwtlqx.swf?VERSION=12,11,1
Amagi,天城,331,202,gmlbignzjwmq,6,6,1,http://203.104.209.71/kcs/resources/swf/ships/gmlbignzjwmq.swf?VERSION=6,6,1
Amagi Kai,天城改,429,229,zgscfjpbxnir,9,9,1,http://203.104.209.71/kcs/resources/swf/ships/zgscfjpbxnir.swf?VERSION=9,9,1
Amatsukaze,天津風,181,181,fdpybckruodj,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/fdpybckruodj.swf?VERSION=1,1,831
Amatsukaze Kai,天津風改,316,1411,cpcycglgelxd,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/cpcycglgelxd.swf?VERSION=1,1,831
Aoba,青葉,61,54,bhyiqjjifflp,4,4,831,http://203.104.209.71/kcs/resources/swf/ships/bhyiqjjifflp.swf?VERSION=4,4,831
Aoba Kai,青葉改,264,1364,udkkmzgsimgq,4,4,831,http://203.104.209.71/kcs/resources/swf/ships/udkkmzgsimgq.swf?VERSION=4,4,831
Aquila,Aquila,444,244,beymvxmvhoct,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/beymvxmvhoct.swf?VERSION=1,1,831
Aquila Kai,Aquila改,365,1445,ywgeborrihwb,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/ywgeborrihwb.swf?VERSION=1,1,831
Arare,霰,48,89,oiknslickotp,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/oiknslickotp.swf?VERSION=9,9,831
Arare Kai,霰改,252,1352,oxttbkywusfp,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/oxttbkywusfp.swf?VERSION=8,8,831
Arashi,嵐,454,254,nguivbnbevwd,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/nguivbnbevwd.swf?VERSION=8,8,831
Arashi Kai,嵐改,354,1434,stvkbeqhwmmj,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/stvkbeqhwmmj.swf?VERSION=8,8,831
Arashio,荒潮,98,88,vksjkggcuvik,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/vksjkggcuvik.swf?VERSION=9,9,831
Arashio Kai,荒潮改,251,1351,pmjnkqodgjpo,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/pmjnkqodgjpo.swf?VERSION=9,9,831
Asagumo,朝雲,413,213,xjtxwkwwfdze,16,16,1,http://203.104.209.71/kcs/resources/swf/ships/xjtxwkwwfdze.swf?VERSION=16,16,1
Asagumo Kai,朝雲改,327,1419,vdieczinfgce,15,15,1,http://203.104.209.71/kcs/resources/swf/ships/vdieczinfgce.swf?VERSION=15,15,1
Asashimo,朝霜,425,225,cdsgjcufyxlz,12,11,831,http://203.104.209.71/kcs/resources/swf/ships/cdsgjcufyxlz.swf?VERSION=12,11,831
Asashimo Kai,朝霜改,344,1424,jozbiyweyksl,13,12,831,http://203.104.209.71/kcs/resources/swf/ships/jozbiyweyksl.swf?VERSION=13,12,831
Asashio,朝潮,95,85,eeyrwdehbixg,10,10,831,http://203.104.209.71/kcs/resources/swf/ships/eeyrwdehbixg.swf?VERSION=10,10,831
Asashio Kai,朝潮改,248,1348,xbbfxeemifpv,10,10,831,http://203.104.209.71/kcs/resources/swf/ships/xbbfxeemifpv.swf?VERSION=10,10,831
Asashio Kai Ni,朝潮改二,463,263,grmdtyheocuc,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/grmdtyheocuc.swf?VERSION=1,1,831
Asashio Kai Ni D,朝潮改二丁,468,268,schftfqkstxa,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/schftfqkstxa.swf?VERSION=1,1,831
Ashigara,足柄,64,57,opprvckvhrkv,14,14,831,http://203.104.209.71/kcs/resources/swf/ships/opprvckvhrkv.swf?VERSION=14,14,831
Ashigara Kai,足柄改,267,1367,bekjyovmrmfd,14,14,831,http://203.104.209.71/kcs/resources/swf/ships/bekjyovmrmfd.swf?VERSION=14,14,831
Ashigara Kai Ni,足柄改二,193,193,bxbyaifmqdxk,14,14,831,http://203.104.209.71/kcs/resources/swf/ships/bxbyaifmqdxk.swf?VERSION=14,14,831
Atago,愛宕,67,60,aqpnbsizhjij,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/aqpnbsizhjij.swf?VERSION=8,8,831
Atago Kai,愛宕改,270,1370,gbkqnzirjyid,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/gbkqnzirjyid.swf?VERSION=8,8,831
Ayanami,綾波,13,17,icpexclhwthr,13,13,1,http://203.104.209.71/kcs/resources/swf/ships/icpexclhwthr.swf?VERSION=13,13,1
Ayanami Kai,綾波改,207,1307,sgpilzypnejy,13,13,1,http://203.104.209.71/kcs/resources/swf/ships/sgpilzypnejy.swf?VERSION=13,13,1
Ayanami Kai Ni,綾波改二,195,195,tiqezicxwpry,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/tiqezicxwpry.swf?VERSION=14,14,1
Bismarck,Bismarck,171,171,ntmjjittqkcj,9,9,1,http://203.104.209.71/kcs/resources/swf/ships/ntmjjittqkcj.swf?VERSION=9,9,1
Bismarck Kai,Bismarck改,172,172,frkfpymtydmg,11,11,1,http://203.104.209.71/kcs/resources/swf/ships/frkfpymtydmg.swf?VERSION=11,11,1
Bismarck drei,Bismarck drei,178,178,twvnkvqgyiru,9,9,1,http://203.104.209.71/kcs/resources/swf/ships/twvnkvqgyiru.swf?VERSION=9,9,1
Bismarck zwei,Bismarck zwei,173,173,etxdlqnvwqtx,10,10,1,http://203.104.209.71/kcs/resources/swf/ships/etxdlqnvwqtx.swf?VERSION=10,10,1
Chikuma,筑摩,72,64,gcqjowlpkbde,11,11,831,http://203.104.209.71/kcs/resources/swf/ships/gcqjowlpkbde.swf?VERSION=11,11,831
Chikuma Kai,筑摩改,274,1374,paqnehcojygu,11,11,831,http://203.104.209.71/kcs/resources/swf/ships/paqnehcojygu.swf?VERSION=11,11,831
Chikuma Kai Ni,筑摩改二,189,189,ilnimhfcivpt,12,12,831,http://203.104.209.71/kcs/resources/swf/ships/ilnimhfcivpt.swf?VERSION=12,12,831
Chitose,千歳,102,49,dkmxevqgbxmr,11,9,1,http://203.104.209.71/kcs/resources/swf/ships/dkmxevqgbxmr.swf?VERSION=11,9,1
Chitose A,千歳甲,106,99,ttkeodhvrmog,12,10,1,http://203.104.209.71/kcs/resources/swf/ships/ttkeodhvrmog.swf?VERSION=12,10,1
Chitose Carrier,千歳航,108,104,wlvvcpnulyer,12,10,1,http://203.104.209.71/kcs/resources/swf/ships/wlvvcpnulyer.swf?VERSION=12,10,1
Chitose Carrier Kai,千歳航改,291,1391,ufcqfujavyyg,11,9,1,http://203.104.209.71/kcs/resources/swf/ships/ufcqfujavyyg.swf?VERSION=11,9,1
Chitose Carrier Kai Ni,千歳航改二,296,121,kavryopoywwx,12,10,1,http://203.104.209.71/kcs/resources/swf/ships/kavryopoywwx.swf?VERSION=12,10,1
Chitose Kai,千歳改,104,95,wvkpfygaipjq,12,10,1,http://203.104.209.71/kcs/resources/swf/ships/wvkpfygaipjq.swf?VERSION=12,10,1
Chiyoda,千代田,103,50,cayfwlehtvgj,11,9,1,http://203.104.209.71/kcs/resources/swf/ships/cayfwlehtvgj.swf?VERSION=11,9,1
Chiyoda A,千代田甲,107,100,agybvcshxbpm,14,12,1,http://203.104.209.71/kcs/resources/swf/ships/agybvcshxbpm.swf?VERSION=14,12,1
Chiyoda Carrier,千代田航,109,105,rsmzverhwskc,13,11,1,http://203.104.209.71/kcs/resources/swf/ships/rsmzverhwskc.swf?VERSION=13,11,1
Chiyoda Carrier Kai,千代田航改,292,1392,hgitzuyaysvw,11,9,1,http://203.104.209.71/kcs/resources/swf/ships/hgitzuyaysvw.swf?VERSION=11,9,1
Chiyoda Carrier Kai Ni,千代田航改二,297,122,jhefpwucyxiq,12,10,1,http://203.104.209.71/kcs/resources/swf/ships/jhefpwucyxiq.swf?VERSION=12,10,1
Chiyoda Kai,千代田改,105,96,tsfbgfyeqxhg,14,12,1,http://203.104.209.71/kcs/resources/swf/ships/tsfbgfyeqxhg.swf?VERSION=14,12,1
Choukai,鳥海,69,62,qmmdyeprdqsu,18,18,831,http://203.104.209.71/kcs/resources/swf/ships/qmmdyeprdqsu.swf?VERSION=18,18,831
Choukai Kai,鳥海改,272,1372,nsgytjsjbfdp,18,18,831,http://203.104.209.71/kcs/resources/swf/ships/nsgytjsjbfdp.swf?VERSION=18,18,831
Choukai Kai Ni,鳥海改二,427,227,jcrdsdpsjcgj,14,14,831,http://203.104.209.71/kcs/resources/swf/ships/jcrdsdpsjcgj.swf?VERSION=14,14,831
Fubuki,吹雪,9,11,gyckjmemgqoe,21,20,831,http://203.104.209.71/kcs/resources/swf/ships/gyckjmemgqoe.swf?VERSION=21,20,831
Fubuki Kai,吹雪改,201,1301,dufziinsornt,21,20,831,http://203.104.209.71/kcs/resources/swf/ships/dufziinsornt.swf?VERSION=21,20,831
Fubuki Kai Ni,吹雪改二,426,226,rtkekdbkqrkg,18,17,831,http://203.104.209.71/kcs/resources/swf/ships/rtkekdbkqrkg.swf?VERSION=18,17,831
Fumizuki,文月,29,34,pjkwpxniwgge,12,12,831,http://203.104.209.71/kcs/resources/swf/ships/pjkwpxniwgge.swf?VERSION=12,12,831
Fumizuki Kai,文月改,257,1357,ysgtnamukxoi,12,12,831,http://203.104.209.71/kcs/resources/swf/ships/ysgtnamukxoi.swf?VERSION=12,12,831
Furutaka,古鷹,59,52,sfbwblstvfmw,15,15,831,http://203.104.209.71/kcs/resources/swf/ships/sfbwblstvfmw.swf?VERSION=15,15,831
Furutaka Kai,古鷹改,262,1362,iolnrzaovbhn,15,15,831,http://203.104.209.71/kcs/resources/swf/ships/iolnrzaovbhn.swf?VERSION=15,15,831
Furutaka Kai Ni,古鷹改二,416,216,vqdgxtrgintc,16,16,831,http://203.104.209.71/kcs/resources/swf/ships/vqdgxtrgintc.swf?VERSION=16,16,831
Fusou,扶桑,26,26,ubntuiyurxwk,18,16,831,http://203.104.209.71/kcs/resources/swf/ships/ubntuiyurxwk.swf?VERSION=18,16,831
Fusou Kai,扶桑改,286,1386,mnkjkgammeds,18,16,831,http://203.104.209.71/kcs/resources/swf/ships/mnkjkgammeds.swf?VERSION=18,16,831
Fusou Kai Ni,扶桑改二,411,211,gmnsxwkdssmj,18,16,831,http://203.104.209.71/kcs/resources/swf/ships/gmnsxwkdssmj.swf?VERSION=18,16,831
Graf Zeppelin,Graf Zeppelin,432,232,tepoqqczfonx,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/tepoqqczfonx.swf?VERSION=8,8,831
Graf Zeppelin Kai,Graf Zeppelin改,353,1433,uljlkucfqqcc,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/uljlkucfqqcc.swf?VERSION=8,8,831
Hagikaze,萩風,455,255,xxbsgzxwjqxh,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/xxbsgzxwjqxh.swf?VERSION=8,8,831
Hagikaze Kai,萩風改,355,1435,vbqucvbohcex,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/vbqucvbohcex.swf?VERSION=8,8,831
Haguro,羽黒,65,58,lvfswfzywnql,14,15,831,http://203.104.209.71/kcs/resources/swf/ships/lvfswfzywnql.swf?VERSION=14,15,831
Haguro Kai,羽黒改,268,1368,uilfcyypnbwm,14,15,831,http://203.104.209.71/kcs/resources/swf/ships/uilfcyypnbwm.swf?VERSION=14,15,831
Haguro Kai Ni,羽黒改二,194,194,ecwgnneuzbcv,14,15,831,http://203.104.209.71/kcs/resources/swf/ships/ecwgnneuzbcv.swf?VERSION=14,15,831
Hamakaze,浜風,170,170,rubtymuqfeuq,21,20,831,http://203.104.209.71/kcs/resources/swf/ships/rubtymuqfeuq.swf?VERSION=21,20,831
Hamakaze Kai,浜風改,312,1408,ojkgkujsenly,21,20,831,http://203.104.209.71/kcs/resources/swf/ships/ojkgkujsenly.swf?VERSION=21,20,831
Harukaze,春風,473,273,gfogtnmgovlq,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/gfogtnmgovlq.swf?VERSION=1,1,831
Harukaze Kai,春風改,363,1443,ihdaromldkrr,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/ihdaromldkrr.swf?VERSION=1,1,831
Haruna,榛名,79,23,vzgrqylbwegp,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/vzgrqylbwegp.swf?VERSION=14,14,1
Haruna Kai,榛名改,211,1311,nolhhoujolpc,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/nolhhoujolpc.swf?VERSION=14,14,1
Haruna Kai Ni,榛名改二,151,151,ilxltdgucgbg,16,14,1,http://203.104.209.71/kcs/resources/swf/ships/ilxltdgucgbg.swf?VERSION=16,14,1
Harusame,春雨,405,205,dbtrdgatxdpl,5,5,1,http://203.104.209.71/kcs/resources/swf/ships/dbtrdgatxdpl.swf?VERSION=5,5,1
Harusame Kai,春雨改,323,1416,cispmgxqaedk,8,6,1,http://203.104.209.71/kcs/resources/swf/ships/cispmgxqaedk.swf?VERSION=8,6,1
Hatsuharu,初春,38,75,nlobofyxzvku,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/nlobofyxzvku.swf?VERSION=14,14,1
Hatsuharu Kai,初春改,238,1338,tedevipdbvdr,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/tedevipdbvdr.swf?VERSION=14,14,1
Hatsuharu Kai Ni,初春改二,326,204,xoiprnaxqxbj,15,15,1,http://203.104.209.71/kcs/resources/swf/ships/xoiprnaxqxbj.swf?VERSION=15,15,1
Hatsukaze,初風,190,118,rwqqgmxpdwbu,15,15,831,http://203.104.209.71/kcs/resources/swf/ships/rwqqgmxpdwbu.swf?VERSION=15,15,831
Hatsukaze Kai,初風改,300,1396,ukwcjqlolezy,15,15,831,http://203.104.209.71/kcs/resources/swf/ships/ukwcjqlolezy.swf?VERSION=15,15,831
Hatsushimo,初霜,41,78,qngptlxhrwhj,10,10,1,http://203.104.209.71/kcs/resources/swf/ships/qngptlxhrwhj.swf?VERSION=10,10,1
Hatsushimo Kai,初霜改,241,1341,woutqrqtdzqi,10,10,1,http://203.104.209.71/kcs/resources/swf/ships/woutqrqtdzqi.swf?VERSION=10,10,1
Hatsushimo Kai Ni,初霜改二,419,219,ufgydlyjdaxb,8,8,1,http://203.104.209.71/kcs/resources/swf/ships/ufgydlyjdaxb.swf?VERSION=8,8,1
Hatsuyuki,初雪,32,13,pxogwcltgjkn,18,18,1,http://203.104.209.71/kcs/resources/swf/ships/pxogwcltgjkn.swf?VERSION=18,18,1
Hatsuyuki Kai,初雪改,203,1303,sejqtlkfjwkc,18,18,1,http://203.104.209.71/kcs/resources/swf/ships/sejqtlkfjwkc.swf?VERSION=18,18,1
Hatsuzuki,初月,423,223,uscckqoguchc,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/uscckqoguchc.swf?VERSION=3,3,1
Hatsuzuki Kai,初月改,357,1437,wwuwxxrkzxex,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/wwuwxxrkzxex.swf?VERSION=3,3,1
Hayashimo,早霜,409,209,kgwxvcnblfjb,3,1,1,http://203.104.209.71/kcs/resources/swf/ships/kgwxvcnblfjb.swf?VERSION=3,1,1
Hayashimo Kai,早霜改,324,1417,uvfgjekdjlcw,3,1,1,http://203.104.209.71/kcs/resources/swf/ships/uvfgjekdjlcw.swf?VERSION=3,1,1
Hayasui,速吸,460,260,ajggcaaaocgh,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/ajggcaaaocgh.swf?VERSION=9,9,831
Hayasui Kai,速吸改,352,1432,niuenzxpukjq,9,9,831,http://203.104.209.71/kcs/resources/swf/ships/niuenzxpukjq.swf?VERSION=9,9,831
Hibiki,響,35,72,nfzmalhtwved,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/nfzmalhtwved.swf?VERSION=3,3,831
Hibiki Kai,響改,235,1335,wpaqzeclspdr,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/wpaqzeclspdr.swf?VERSION=3,3,831
Hiei,比叡,86,22,bxzhnjffdppv,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/bxzhnjffdppv.swf?VERSION=14,14,1
Hiei Kai,比叡改,210,1310,iatmdvvwlngq,15,15,1,http://203.104.209.71/kcs/resources/swf/ships/iatmdvvwlngq.swf?VERSION=15,15,1
Hiei Kai Ni,比叡改二,150,150,mhpalcnpxmgz,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/mhpalcnpxmgz.swf?VERSION=14,14,1
Hiryuu,飛龍,91,9,gobumojesgfi,15,16,1,http://203.104.209.71/kcs/resources/swf/ships/gobumojesgfi.swf?VERSION=15,16,1
Hiryuu Kai,飛龍改,280,1380,kftqxfempust,15,16,1,http://203.104.209.71/kcs/resources/swf/ships/kftqxfempust.swf?VERSION=15,16,1
Hiryuu Kai Ni,飛龍改二,196,196,gbxvfsrqbyxg,16,17,1,http://203.104.209.71/kcs/resources/swf/ships/gbxvfsrqbyxg.swf?VERSION=16,17,1
Hiyou,飛鷹,75,65,sdiauxhgyfkj,7,7,1,http://203.104.209.71/kcs/resources/swf/ships/sdiauxhgyfkj.swf?VERSION=7,7,1
Hiyou Kai,飛鷹改,283,1383,yiwwnppitqpf,8,8,1,http://203.104.209.71/kcs/resources/swf/ships/yiwwnppitqpf.swf?VERSION=8,8,1
Houshou,鳳翔,89,25,bwgbubdrhvfg,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/bwgbubdrhvfg.swf?VERSION=3,3,831
Houshou Kai,鳳翔改,285,1385,xjotoxrgwfrj,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/xjotoxrgwfrj.swf?VERSION=3,3,831
Hyuuga,日向,87,4,cfqmhviykuup,20,20,1,http://203.104.209.71/kcs/resources/swf/ships/cfqmhviykuup.swf?VERSION=20,20,1
Hyuuga Kai,日向改,88,103,jprpbvbeillv,21,21,1,http://203.104.209.71/kcs/resources/swf/ships/jprpbvbeillv.swf?VERSION=21,21,1
I-168,伊168,126,126,wmzbyvhflrhy,4,5,831,http://203.104.209.71/kcs/resources/swf/ships/wmzbyvhflrhy.swf?VERSION=4,5,831
I-168 Kai,伊168改,398,1498,dyfnguymthbd,4,5,831,http://203.104.209.71/kcs/resources/swf/ships/dyfnguymthbd.swf?VERSION=4,5,831
I-19,伊19,191,123,jdsszkolhitg,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/jdsszkolhitg.swf?VERSION=8,8,831
I-19 Kai,伊19改,401,1501,jwrlielrnfpr,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/jwrlielrnfpr.swf?VERSION=8,8,831
I-26,伊26,483,283,qrubiqfijtfp,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/qrubiqfijtfp.swf?VERSION=1,1,831
I-26 Kai,伊26改,367,1447,whdxgwhsflxf,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/whdxgwhsflxf.swf?VERSION=1,1,831
I-401,伊401,155,155,hmiwrqvijwvv,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/hmiwrqvijwvv.swf?VERSION=3,3,1
I-401 Kai,伊401改,403,1503,tuvoqtqrddem,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/tuvoqtqrddem.swf?VERSION=3,3,1
I-58,伊58,127,127,fqbwbmmdcjby,3,4,831,http://203.104.209.71/kcs/resources/swf/ships/fqbwbmmdcjby.swf?VERSION=3,4,831
I-58 Kai,伊58改,399,1499,hosmgvuzyjlw,3,4,831,http://203.104.209.71/kcs/resources/swf/ships/hosmgvuzyjlw.swf?VERSION=3,4,831
I-8,伊8,128,128,zoaptkoerfpv,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/zoaptkoerfpv.swf?VERSION=8,8,831
I-8 Kai,伊8改,400,1500,fggcskrfkpnr,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/fggcskrfkpnr.swf?VERSION=8,8,831
Ikazuchi,雷,36,73,aejfywpsegbv,6,5,831,http://203.104.209.71/kcs/resources/swf/ships/aejfywpsegbv.swf?VERSION=6,5,831
Ikazuchi Kai,雷改,236,1336,eathbqlrqvda,6,5,831,http://203.104.209.71/kcs/resources/swf/ships/eathbqlrqvda.swf?VERSION=6,5,831
Inazuma,電,37,74,uuilouoffjoj,6,5,831,http://203.104.209.71/kcs/resources/swf/ships/uuilouoffjoj.swf?VERSION=6,5,831
Inazuma Kai,電改,237,1337,bqvrrfdcuvdr,6,5,831,http://203.104.209.71/kcs/resources/swf/ships/bqvrrfdcuvdr.swf?VERSION=6,5,831
Iowa,Iowa,440,240,tgknyzwyexxt,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/tgknyzwyexxt.swf?VERSION=1,1,831
Iowa Kai,Iowa改,360,1440,nwntjkczdexl,1,1,831,http://203.104.209.71/kcs/resources/swf/ships/nwntjkczdexl.swf?VERSION=1,1,831
Ise,伊勢,77,3,skgpomqtcedb,13,13,1,http://203.104.209.71/kcs/resources/swf/ships/skgpomqtcedb.swf?VERSION=13,13,1
Ise Kai,伊勢改,82,102,guwzhmxxnwol,14,14,1,http://203.104.209.71/kcs/resources/swf/ships/guwzhmxxnwol.swf?VERSION=14,14,1
Isokaze,磯風,167,167,bctrxdxrugqp,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/bctrxdxrugqp.swf?VERSION=3,3,831
Isokaze Kai,磯風改,320,1413,dyupugfxshtd,3,3,831,http://203.104.209.71/kcs/resources/swf/ships/dyupugfxshtd.swf?VERSION=3,3,831
Isonami,磯波,12,16,ljesxnctkmmf,11,11,1,http://203.104.209.71/kcs/resources/swf/ships/ljesxnctkmmf.swf?VERSION=11,11,1
Isonami Kai,磯波改,206,1306,olkahitypycq,11,11,1,http://203.104.209.71/kcs/resources/swf/ships/olkahitypycq.swf?VERSION=11,11,1
Isuzu,五十鈴,22,43,tcqsalkhzurk,3,1,1,http://203.104.209.71/kcs/resources/swf/ships/tcqsalkhzurk.swf?VERSION=3,1,1
Isuzu Kai,五十鈴改,219,1319,espxbipsjiyt,3,1,1,http://203.104.209.71/kcs/resources/swf/ships/espxbipsjiyt.swf?VERSION=3,1,1
Isuzu Kai Ni,五十鈴改二,141,141,nnkmuxqyewyk,4,2,1,http://203.104.209.71/kcs/resources/swf/ships/nnkmuxqyewyk.swf?VERSION=4,2,1
Italia,Italia,446,246,feyfhhruhjse,14,12,1,http://203.104.209.71/kcs/resources/swf/ships/feyfhhruhjse.swf?VERSION=14,12,1
Jintsuu,神通,55,47,icmlpbiditqy,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/icmlpbiditqy.swf?VERSION=8,8,831
Jintsuu Kai,神通改,223,1323,ncijtxixkghu,8,8,831,http://203.104.209.71/kcs/resources/swf/ships/ncijtxixkghu.swf?VERSION=8,8,831
Jintsuu Kai Ni,神通改二,159,159,xyqotgpmnjih,11,10,831,http://203.104.209.71/kcs/resources/swf/ships/xyqotgpmnjih.swf?VERSION=11,10,831
Junyou,隼鷹,92,66,ltdlvothcqnr,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/ltdlvothcqnr.swf?VERSION=3,3,1
Junyou Kai,隼鷹改,284,1384,pwokyefpmqwi,3,3,1,http://203.104.209.71/kcs/resources/swf/ships/pwokyefpmqwi.swf?VERSION=3,3,1
Junyou Kai Ni,隼鷹改二,408,208,yyyfqcpumpxj,4,4,1,http://203.104.209.71/kcs/resources/swf/ships/yyyfqcpumpxj.swf?VERSION=4,4,1
Kaga,加賀,84,7,oeimwwkynzlt,12,12,1,http://203.104.209.71/kcs/resources/swf/ships/oeimwwkynzlt.swf?VERSION=12,12,1
Kaga Kai,加賀改,278,1378,uuqdlbtrkmvk,12,12,1,http://203.104.209.71/kcs/resources/swf/ships/uuqdlbtrkmvk.swf?VERSION=12,12,1
Kagerou,陽炎,17,91,nkvvrszimkre,13,13,1,http://203.104.209.71/kcs/resources/swf/ships/nkvvrszimkre.swf?VERSION=13,13,1
Kagerou Kai,陽炎改,225,1325,ffyychaekjsj,13,13,1,http://203.104.209.71/kcs/resources/swf/ships/ffyychaekjsj.swf?VERSION=13,13,1
